,cell_type,gene,avg_logFC,p_val,p_val_adj,de_family,de_method,de_type
1339,cell,B3GAT3,-0.956406919095805,0.0328174499599442,0.106695324499369,pseudobulk,edgeR,QLF
1340,cell,B3GLCT,-0.0253664297247269,0.958597846904778,0.979729352903004,pseudobulk,edgeR,QLF
1341,cell,B3GNT2,1.98033601603739,0.00085512135759159,0.0081528158564298,pseudobulk,edgeR,QLF
1342,cell,B3GNT3,1.6276548316233,0.0073819969838742,0.0384821150763616,pseudobulk,edgeR,QLF
1343,cell,B3GNT4,1.82388208747118,0.00250214500806418,0.0179671284968188,pseudobulk,edgeR,QLF
1344,cell,B3GNT5,0.668992242675293,0.203420080321911,0.357504130610034,pseudobulk,edgeR,QLF
1345,cell,B3GNT6,1.2955431174171,0.0266660041909922,0.0921404798389009,pseudobulk,edgeR,QLF
1346,cell,B3GNT7,0.307505700437831,0.349544679129887,0.513241545708151,pseudobulk,edgeR,QLF
1347,cell,B3GNT8,0.488248510486049,0.179282235494952,0.329131127603528,pseudobulk,edgeR,QLF
1348,cell,B3GNT9,0.166039389497432,0.7314272054107,0.831408387794526,pseudobulk,edgeR,QLF
1349,cell,B3GNTL1,0.568978521414766,0.0948426670382616,0.214893759183389,pseudobulk,edgeR,QLF
1350,cell,B4GALNT1,1.70756386843244,0.00254691593397294,0.0179671284968188,pseudobulk,edgeR,QLF
1351,cell,B4GALNT2,0.590393158229488,0.240397944902878,0.399101243286914,pseudobulk,edgeR,QLF
1352,cell,B4GALNT3,0.8782372239889,0.0712652886658292,0.177444955839681,pseudobulk,edgeR,QLF
1353,cell,B4GALNT4,0.345801430291288,0.410060319967662,0.571291088141383,pseudobulk,edgeR,QLF
1354,cell,B4GALT1,0.133362204516014,0.684581599259639,0.798020469885407,pseudobulk,edgeR,QLF
1355,cell,B4GALT2,0.152928249326909,0.781078914821911,0.867015828352305,pseudobulk,edgeR,QLF
1356,cell,B4GALT3,0.235460041684414,0.512088822639502,0.660336315575273,pseudobulk,edgeR,QLF
1357,cell,B4GALT4,1.05607549316996,0.180587212554229,0.330299589407488,pseudobulk,edgeR,QLF
1358,cell,B4GALT5,0.466986123123625,0.347552751350561,0.511524810083695,pseudobulk,edgeR,QLF
1359,cell,B4GALT6,0.640848501421799,0.125671211612473,0.258493542015422,pseudobulk,edgeR,QLF
1360,cell,B4GALT7,-0.910624302409917,0.0235061107445563,0.0856153051371732,pseudobulk,edgeR,QLF
1361,cell,B4GAT1,-0.726581722045066,0.967127328514942,0.983176236135032,pseudobulk,edgeR,QLF
1362,cell,B9D1,0.73100808025118,0.0588700683062186,0.156349781296823,pseudobulk,edgeR,QLF
1363,cell,B9D2,2.06894700073767,1.31645233819589e-05,0.000335139318407904,pseudobulk,edgeR,QLF
1364,cell,BAALC,0.898787089466423,0.0320883902328115,0.105002220109193,pseudobulk,edgeR,QLF
1365,cell,BAAT,0.498504356511932,0.307172633044271,0.47077928936251,pseudobulk,edgeR,QLF
1366,cell,BABAM1,1.22633045193157,0.0340291461843901,0.109324389664641,pseudobulk,edgeR,QLF
1367,cell,BABAM2,-0.686248642459842,0.0809587758909122,0.193273145772084,pseudobulk,edgeR,QLF
1368,cell,BACE1,-0.332483534546206,0.522464732304812,0.668244681269242,pseudobulk,edgeR,QLF
1369,cell,BACE2,-1.48235750661297,0.00183428105717429,0.0142461417044729,pseudobulk,edgeR,QLF
1370,cell,BACH1,0.482070947357656,0.27194535626281,0.433361398642849,pseudobulk,edgeR,QLF
1371,cell,BACH2,0.376534296871699,0.487392266516732,0.64078667477762,pseudobulk,edgeR,QLF
1372,cell,BAD,-0.932355273297401,0.0695820932432666,0.174418116271121,pseudobulk,edgeR,QLF
1373,cell,BAG1,0.700635624899896,0.198847434429839,0.352490243963634,pseudobulk,edgeR,QLF
1374,cell,BAG2,2.28891950156706,0.00014822204487668,0.00213453138067957,pseudobulk,edgeR,QLF
1375,cell,BAG3,1.87487857358256,3.90261184709777e-05,0.000785237499159306,pseudobulk,edgeR,QLF
1376,cell,BAG4,-0.481391276831928,0.28474160504794,0.446377577521783,pseudobulk,edgeR,QLF
1377,cell,BAG5,0.809707825949836,0.129350108916009,0.26396479556908,pseudobulk,edgeR,QLF
1378,cell,BAGE3,-1.536711429014,0.000154511404954599,0.0021999593322238,pseudobulk,edgeR,QLF
1379,cell,BAGE5,-1.28570306823057,0.000768910320574113,0.00746575497102985,pseudobulk,edgeR,QLF
1380,cell,BAHCC1,1.25180292072056,0.0100672196525083,0.0475439454731904,pseudobulk,edgeR,QLF
1381,cell,BAHD1,-0.042213094079377,0.903588658851952,0.948010781016234,pseudobulk,edgeR,QLF
1382,cell,BAIAP2,0.498748398755608,0.166785672557067,0.313489807508399,pseudobulk,edgeR,QLF
1383,cell,BAIAP2L1,0.497590877199055,0.136471910132877,0.273354173947425,pseudobulk,edgeR,QLF
1384,cell,BAIAP2L2,0.575091121194208,0.127113813972693,0.260684646313213,pseudobulk,edgeR,QLF
1385,cell,BAIAP3,0.644559311649365,0.343750944387541,0.508134850950976,pseudobulk,edgeR,QLF
